minimum,gradient,curve,master_Term_id,best_fit_flag,negative_curve_flag
725.0062847,7.32E-07,2,2,N,N
725.0064017,7.34E-07,1,2,N,N
725.0272307,7.47E-07,3,2,N,N
670.5105497,0,4,2,Y,N
1103.599293,-6.50E-06,2,4,N,Y
1832.713573,1.85E-07,1,4,N,N
1010.477347,-1.90E-06,3,4,Y,Y
1098.184533,-6.26E-06,4,4,N,Y
2089.663188,-7.71E-06,2,5,N,Y
2345.643129,8.37E-07,1,5,N,N
2088.743257,-6.76E-06,3,5,N,Y
1767.193057,-6.78E-61,4,5,Y,Y
2294.074892,-1.34E-05,2,7,N,Y
3020.686941,4.35E-07,1,7,N,N
1953.693254,-1.34E-06,3,7,N,Y
1650.630413,-1.13E-23,4,7,Y,Y
2805.71337,-1.36E-05,2,8,N,Y
4221.553994,3.72E-07,1,8,N,N
2461.232989,-3.13E-06,3,8,N,Y
2040.097512,-8.57E-10,4,8,Y,Y
170.4307489,5.34E-07,2,13,N,N
170.4316011,5.34E-07,1,13,N,N
170.4487222,5.40E-07,3,13,N,N
1914.218778,0.000705359,4,153,Y,N
4426.9719,-1.94E-05,2,14,N,Y
4605.754012,1.10E-05,1,14,N,N
4427.390777,-1.92E-05,3,14,N,Y
4032.903568,0,4,14,Y,N
1658.280811,6.21E-07,2,20,N,N
1658.297882,6.67E-07,1,20,N,N
1658.311929,6.21E-07,3,20,N,N
1579.599391,-1.72E-05,4,20,Y,Y
1882.52133,1.40E-06,2,22,N,N
1882.521589,1.41E-06,1,22,N,N
1882.557265,1.39E-06,3,22,N,N
1842.351388,0,4,22,Y,N
3693.307337,-5.31E-05,2,28,N,Y
4843.692863,3.27E-06,1,28,N,N
3673.250246,-3.60E-05,3,28,N,Y
2979.215589,0,4,28,Y,N
216.7538639,5.05E-07,2,30,N,N
216.7541497,5.04E-07,1,30,N,N
192.8307646,1.22E-05,3,30,N,N
2590.531473,0.000242125,3,251,Y,N
1319.305954,-3.63E-05,2,31,N,Y
2018.87136,3.57E-06,1,31,N,N
838.4125569,-2.06E-09,3,31,Y,Y
1319.499305,-3.63E-05,4,31,N,Y
1059.160138,-4.91E-06,2,33,N,Y
1115.981443,1.62E-06,1,33,N,N
927.525672,-1.21E-17,3,33,Y,Y
1016.892086,-9.91E-72,4,33,N,Y
2155.647897,0.00018596,4,211,Y,N
5135.292624,5.05E-05,1,34,N,N
5140.778621,5.09E-05,3,34,N,N
5751.183329,1.47E-05,4,34,N,N
2419.193281,9.79E-06,2,35,N,N
2419.193592,9.81E-06,1,35,N,N
2083.4036,0.000426418,3,35,N,N
1088.297127,0.000155214,4,260,Y,N
447.8314258,-3.90E-06,2,36,N,Y
538.5028538,7.50E-07,1,36,N,N
383.0345768,-5.36E-12,3,36,N,Y
381.6478712,-1.85E-13,4,36,Y,Y
77.94130786,-3.78E-08,2,37,N,Y
79.37139359,4.26E-08,1,37,N,N
77.94302788,-3.69E-08,3,37,N,Y
77.76527176,-9.22E-09,4,37,Y,Y
1948.181141,6.14E-06,2,39,N,N
2009.041381,0.000129278,4,266,Y,N
755.8151453,2.97E-06,3,39,N,N
751.0871379,2.80E-06,4,39,N,N
2834.491008,7.76E-06,2,41,N,N
2834.915152,8.84E-06,1,41,N,N
2834.494128,8.23E-06,3,41,N,N
584.0792083,0.000120886,4,161,Y,N
828.2721515,-4.62E-06,2,42,N,Y
959.4940596,7.05E-07,1,42,N,N
772.5730259,-8.15E-14,3,42,N,Y
729.5204769,-1.80E-223,4,42,Y,Y
814.5014554,1.52E-07,2,43,N,N
814.5267827,1.68E-07,1,43,N,N
775.4778736,1.25E-05,3,43,N,N
1318.071394,0.000119362,4,121,Y,N
1146.584036,8.65E-07,2,44,N,N
1146.643537,9.37E-07,1,44,N,N
1039.422901,6.30E-05,3,44,N,N
5980.899252,7.21E-05,2,69,Y,N
5135.292624,5.05E-05,2,34,Y,N
462.4888893,3.90E-07,1,45,N,N
462.5110005,3.93E-07,3,45,N,N
462.4915721,3.88E-07,4,45,N,N
2535.091188,8.42E-06,2,53,N,N
2232.033623,4.79E-05,3,182,Y,N
884.6993661,1.82E-06,3,53,N,N
798.9520474,7.70E-07,4,53,N,N
2787.273375,-9.82E-06,2,55,N,Y
3021.513605,8.96E-07,1,55,N,N
2788.295692,-9.71E-06,3,55,N,Y
2603.827677,-2.04E-06,4,55,Y,Y
384.7276336,-6.16E-07,2,58,N,Y
396.8074201,5.49E-07,1,58,N,N
358.4083057,-1.99E-11,3,58,Y,Y
388.0675819,3.22E-09,4,58,N,N
1421.225899,3.49E-06,2,61,N,N
1421.226627,3.50E-06,1,61,N,N
1408.255709,1.16E-05,3,61,N,N
1307.776463,0,4,61,Y,N
3786.71464,4.23E-05,4,205,Y,N
1809.477971,1.61E-05,1,62,N,N
1811.13805,1.63E-05,3,62,N,N
1809.553354,1.61E-05,4,62,N,N
2109.173977,-4.09E-06,2,63,N,Y
2182.640779,1.29E-06,1,63,N,N
2109.3518,-4.03E-06,3,63,N,Y
2082.787548,-9.01E-07,4,63,Y,Y
1535.208711,-1.29E-05,2,65,N,Y
2221.118316,7.32E-07,1,65,N,N
1371.38688,-2.27E-06,3,65,N,Y
1168.463251,-7.91E-55,4,65,Y,Y
21375.25528,0.000100279,2,66,N,N
21375.25528,0.000100277,1,66,N,N
9053.930323,0.006378907,3,66,N,N
1427.794222,4.18E-05,3,105,Y,N
739.3799934,1.24E-06,2,68,N,N
739.3801241,1.25E-06,1,68,N,N
538.5461946,7.01E-05,3,68,N,N
997.7877499,3.61E-05,4,44,Y,N
1457.766572,2.67E-05,3,270,Y,N
5980.899264,7.21E-05,1,69,N,N
5991.831088,7.55E-05,3,69,N,N
5981.354908,7.21E-05,4,69,N,N
1243.58989,4.82E-06,2,71,N,N
1243.589923,4.82E-06,1,71,N,N
1243.66883,5.10E-06,3,71,N,N
192.1585309,1.88E-05,4,30,Y,N
3287.709688,-1.18E-05,2,72,N,Y
4235.123659,2.94E-07,1,72,N,N
3252.741494,-7.39E-06,3,72,N,Y
2610.357392,-1.31E-266,4,72,Y,Y
1201.378327,-2.13E-06,2,73,N,Y
1240.470842,4.79E-07,1,73,N,N
1190.782709,-6.38E-07,3,73,N,Y
1106.147052,0,4,73,Y,N
3055.034734,1.81E-05,2,79,N,N
3055.035012,1.81E-05,1,79,N,N
3055.9927,1.81E-05,3,79,N,N
2587.327546,0,4,79,Y,N
1692.929804,-1.70E-06,2,80,N,Y
1731.378225,9.68E-07,1,80,N,N
1680.479947,-6.51E-07,3,80,N,Y
1621.552504,-2.95E-11,4,80,Y,Y
1890.602449,1.59E-06,2,83,N,N
1891.028135,2.05E-06,1,83,N,N
1890.660646,1.59E-06,3,83,N,N
1858.675483,-7.41E-88,4,83,Y,Y
667.9647428,8.46E-07,2,85,N,N
667.9653319,8.47E-07,1,85,N,N
667.984391,8.65E-07,3,85,N,N
635.9313029,0,4,85,Y,N
781.9553136,-1.04E-06,2,86,N,Y
800.8572374,3.53E-07,1,86,N,N
782.0085456,-1.02E-06,3,86,N,Y
725.6826476,-1.58E-154,4,86,Y,Y
711.3823073,-7.78E-07,2,89,N,Y
739.2372695,1.98E-07,1,89,N,N
689.7504447,-1.24E-07,3,89,N,Y
657.5839565,-1.29E-21,4,89,Y,Y
987.1566719,2.79E-06,2,91,N,N
973.3558577,3.23E-06,1,91,N,N
957.9641873,4.88E-06,3,91,N,N
1809.477962,1.61E-05,2,62,Y,N
1817.84247,-2.19E-06,2,100,N,Y
1926.64422,1.75E-07,1,100,N,N
1803.76009,-6.98E-07,3,100,Y,Y
1817.838035,-2.18E-06,4,100,N,Y
2455.801485,-1.84E-05,2,102,N,Y
3370.660847,7.37E-07,1,102,N,N
3302.862194,0,3,102,N,N
1946.676078,0,4,102,Y,N
378.0306501,-3.36E-07,2,103,N,Y
393.8546069,3.63E-08,1,103,N,N
378.0951779,-3.34E-07,3,103,N,Y
337.5041199,0,4,103,Y,N
1465.804354,3.79E-07,2,105,N,N
1466.863856,8.01E-07,1,105,N,N
8019.168388,1.18E-05,4,66,Y,N
1450.565563,0,4,105,N,N
1234.086765,9.02E-06,2,108,N,N
1234.086805,9.02E-06,1,108,N,N
1170.769832,2.80E-05,3,108,N,N
2056.805246,8.31E-06,4,35,Y,N
428.6258994,-1.64E-06,2,109,N,Y
452.7311248,6.71E-07,1,109,N,N
323.4634934,-9.93E-17,3,109,Y,Y
415.2473713,0,4,109,N,N
4011.276633,-2.01E-05,2,113,N,Y
4507.574945,1.77E-06,1,113,N,N
4012.238191,-1.96E-05,3,113,N,Y
3940.884542,-1.61E-06,4,113,Y,Y
4502.495022,1.67E-05,2,118,N,N
4502.495468,1.67E-05,1,118,N,N
4273.196412,0.000363939,3,118,N,N
689.3542817,4.62E-06,1,53,Y,N
1394.590375,-3.77E-06,2,120,N,Y
1484.638631,9.92E-07,1,120,N,N
1394.209547,-3.08E-06,3,120,N,Y
1345.313954,0,4,120,Y,N
4480.135201,2.61E-05,2,121,N,N
2776.197601,4.71E-05,1,121,N,N
1877.616765,0.000191045,3,121,N,N
120.084991,4.32E-06,3,248,Y,N
6911.098422,-5.65E-05,2,126,N,Y
7406.534438,1.87E-05,1,126,N,N
6914.47351,-5.10E-05,3,126,N,Y
6249.562247,0,4,126,Y,N
2107.979084,1.91E-07,2,127,N,N
2109.277924,6.38E-07,1,127,N,N
2043.97696,5.30E-05,3,127,N,N
735.1858233,2.33E-06,1,39,Y,N
951.4982109,1.98E-06,2,214,Y,N
1349.636178,1.70E-06,1,129,N,N
1349.727874,1.70E-06,3,129,N,N
1349.641449,1.69E-06,4,129,N,N
1532.459801,-1.12E-05,2,135,N,Y
1945.878043,4.24E-07,1,135,N,N
1533.16539,-1.08E-05,3,135,N,Y
1425.987302,-8.20E-20,4,135,Y,Y
8807.157199,-0.000206384,2,138,N,Y
12520.06812,1.20E-05,1,138,N,N
8729.035826,-0.000143675,3,138,N,Y
6371.642655,-1.51E-09,4,138,Y,Y
9206.522614,0.000158076,2,142,N,N
9206.522614,0.000158078,1,142,N,N
6263.383618,0.003852375,3,142,N,N
1349.635183,1.70E-06,2,129,Y,N
6111.168927,-2.40E-05,2,147,N,Y
6285.920101,9.27E-06,1,147,N,N
6086.206125,-1.16E-05,3,147,N,Y
5409.032857,0,4,147,Y,N
2116.289292,1.15E-05,2,148,N,N
2116.290208,1.15E-05,1,148,N,N
1850.704919,0.000247873,3,148,N,N
602.455321,1.37E-06,2,274,Y,N
3055.824004,-1.20E-05,2,149,N,Y
3429.442595,1.05E-06,1,149,N,N
3368.751772,2.02E-235,3,149,N,N
2513.264364,-3.09E-57,4,149,Y,Y
2027.335975,4.00E-07,2,153,N,N
2031.10401,1.62E-06,1,153,N,N
2027.300392,4.45E-07,3,153,N,N
600.1030988,1.08E-06,4,264,Y,N
2695.703253,-2.59E-06,2,154,N,Y
2728.88631,5.75E-06,1,154,N,N
1433.997224,-2.71E-12,3,154,Y,Y
2596.335509,0,4,154,N,N
2361.440254,1.91E-06,2,156,N,N
2361.72461,2.26E-06,1,156,N,N
2361.497663,1.90E-06,3,156,N,N
2263.437028,-6.80E-05,4,156,Y,Y
2341.15935,-1.02E-05,2,158,N,Y
2454.404437,5.14E-06,1,158,N,N
2308.175543,-2.94E-06,3,158,N,Y
2032.350824,0.00E+00,4,158,Y,Y
700.3580576,2.41E-06,2,161,N,N
700.3582148,2.41E-06,1,161,N,N
587.010838,7.13E-05,3,161,N,N
462.4886809,3.89E-07,2,45,Y,N
2284.645932,-6.48E-06,2,163,N,Y
2381.024485,1.43E-06,1,163,N,N
2330.686843,-6.69E-25,3,163,N,Y
2024.434546,0,4,163,Y,N
3753.523253,4.13E-05,2,165,N,N
3753.523255,4.13E-05,1,165,N,N
3756.476597,4.22E-05,3,165,N,N
1740.619659,1.32E-07,4,148,Y,N
2876.678178,-7.79E-06,2,166,N,Y
3070.615322,1.09E-06,1,166,N,N
2877.206004,-7.61E-06,3,166,N,Y
2557.00265,0,4,166,Y,N
163.155271,-1.88E-07,2,171,N,Y
170.6201896,7.04E-08,1,171,N,N
149.2386444,-4.09E-10,3,171,Y,Y
166.9162822,-7.04E-09,4,171,N,Y
1413.616489,8.30E-07,2,180,N,N
1416.282067,1.78E-06,1,180,N,N
1381.095376,2.14E-05,3,180,N,N
1281.815958,0,4,180,Y,N
2245.969795,3.01E-05,2,182,N,N
2245.969795,3.01E-05,1,182,N,N
4000.190381,4.85E-08,4,194,Y,N
2237.203272,3.68E-05,4,182,N,N
1974.994291,-4.43E-06,2,186,N,Y
2071.340954,6.31E-07,1,186,N,N
1971.697069,-2.92E-06,3,186,N,Y
1695.832409,0,4,186,Y,N
4153.933221,-3.02E-05,2,190,N,Y
4723.320861,3.02E-06,1,190,N,N
4155.074988,-2.93E-05,3,190,N,Y
3631.84791,-7.73E-212,4,190,Y,Y
3132.034709,1.54E-05,2,192,N,N
3132.036164,1.55E-05,1,192,N,N
3132.556004,1.55E-05,3,192,N,N
834.8974875,9.77E-09,4,91,Y,N
2119.331211,1.08E-05,2,193,N,N
2119.331583,1.08E-05,1,193,N,N
2057.191187,1.43E-09,3,193,N,N
167.3235286,1.73E-09,4,13,Y,N
4148.099291,-1.32E-06,2,194,N,Y
4167.102642,4.39E-06,1,194,N,N
4148.014034,-1.40E-06,3,194,N,Y
1042.180521,4.91E-10,4,108,Y,N
2822.913682,-1.36E-06,2,195,N,Y
2849.227879,9.15E-07,1,195,N,N
2737.558204,-2.65E-07,3,195,N,Y
1674.84715,5.68E-12,4,204,Y,N
3005.925106,5.31E-05,2,198,N,N
3005.925106,5.31E-05,1,198,N,N
2999.054642,6.16E-05,3,198,N,N
2729.939612,0,4,198,Y,N
2554.402865,-1.41E-05,2,201,N,Y
2780.345189,4.76E-06,1,201,N,N
2542.401012,-8.49E-06,3,201,N,Y
2149.707557,0,4,201,Y,N
1445.380403,5.01E-06,2,202,N,N
1445.380693,5.02E-06,1,202,N,N
1329.824564,0.000147846,3,202,N,N
2305.74596,1.43E-13,4,195,Y,N
1826.539824,-2.72E-06,2,203,N,Y
1928.343264,3.69E-07,1,203,N,N
1774.465318,-2.72E-07,3,203,N,Y
1678.641247,-2.41E-28,4,203,Y,Y
1722.622581,1.14E-05,2,204,N,N
1722.622621,1.14E-05,1,204,N,N
1719.657254,6.28E-06,3,204,N,N
2758.154487,1.82E-15,4,192,Y,N
3790.251329,2.89E-05,2,205,N,N
3790.251377,2.89E-05,1,205,N,N
3791.572962,2.91E-05,3,205,N,N
5288.819869,9.68E-19,4,142,Y,N
781.4914342,4.21E-06,2,206,N,N
781.4915893,4.21E-06,1,206,N,N
706.5717983,4.09E-05,3,206,N,N
3369.175744,1.08E-19,4,165,Y,N
5374.587832,3.99E-05,2,211,N,N
4451.214951,5.00E-05,1,211,N,N
2620.305292,0.00020841,3,211,N,N
1996.470347,1.32E-32,4,193,Y,N
1959.440267,9.76E-36,4,127,Y,N
951.7244895,1.95E-06,1,214,N,N
952.5122346,2.10E-06,3,214,N,N
951.7016244,2.02E-06,4,214,N,N
1929.660244,-5.12E-06,2,220,N,Y
1979.428436,2.62E-06,1,220,N,N
1929.782637,-5.00E-06,3,220,N,Y
1679.721716,-3.89E-09,4,220,Y,Y
1448.62957,-7.99E-06,2,229,N,Y
1561.563399,2.39E-06,1,229,N,N
742.6688149,-4.65E-12,3,229,Y,Y
1448.257731,-7.94E-06,4,229,N,Y
1055.859628,-2.11E-06,2,230,N,Y
1093.743883,4.80E-07,1,230,N,N
1056.011552,-2.09E-06,3,230,N,Y
831.2683241,-1.15E-229,4,230,Y,Y
2892.458615,-5.83E-06,2,232,N,Y
3001.856044,1.30E-06,1,232,N,N
2877.864549,-2.36E-06,3,232,N,Y
2755.642153,0,4,232,Y,N
10124.73732,-0.000157967,2,238,N,Y
17489.30854,2.77E-06,1,238,N,N
10128.97156,-0.000149556,3,238,N,Y
8768.173366,-4.68E-07,4,238,Y,Y
1820.778762,-2.30E-05,2,240,N,Y
2383.063705,1.61E-06,1,240,N,N
1822.165834,-2.24E-05,3,240,N,Y
1670.599368,-3.09E-118,4,240,Y,Y
3744.120838,-2.31E-05,2,241,N,Y
4040.704925,4.18E-06,1,241,N,N
3745.32155,-2.28E-05,3,241,N,Y
3127.048776,0,4,241,Y,N
2361.356351,1.80E-07,2,242,N,N
2364.12867,1.16E-06,1,242,N,N
2361.358317,1.78E-07,3,242,N,N
2099.497193,-1.83E-199,4,242,Y,Y
1619.391828,-6.34E-06,2,246,N,Y
1819.628803,8.84E-07,1,246,N,N
1596.475382,-1.84E-06,3,246,N,Y
1546.418062,-5.70E-296,4,246,Y,Y
125.2119546,5.97E-07,2,248,N,N
125.212165,5.96E-07,1,248,N,N
372.1503858,6.86E-40,4,68,Y,N
120.1372101,3.94E-06,4,248,N,N
2692.112339,0.000162925,2,251,N,N
2692.11234,0.000162924,1,251,N,N
3849.189297,7.76E-57,4,118,Y,N
2690.719919,0.000161755,4,251,N,N
2155.639911,-1.03E-05,2,253,N,Y
2303.652716,2.41E-06,1,253,N,N
2155.912385,-1.01E-05,3,253,N,Y
2006.293294,-8.99E-54,4,253,Y,Y
1276.624979,-1.85E-05,2,259,N,Y
1728.701754,2.24E-06,1,259,N,N
1070.931641,-9.50E-07,3,259,Y,Y
1071.005465,-9.09E-07,4,259,N,Y
2160.81685,1.95E-05,2,260,N,N
2115.650905,1.89E-05,1,260,N,N
1201.664971,9.22E-05,3,260,N,N
2692.905849,3.09E-81,4,41,Y,N
2234.841968,7.61E-06,2,264,N,N
617.6897632,2.65E-06,1,264,N,N
682.9910838,2.21E-06,3,264,N,N
707.7061293,8.91E-90,4,43,Y,N
2030.957382,5.83E-06,2,266,N,N
2030.957386,5.83E-06,1,266,N,N
2031.352111,5.92E-06,3,266,N,N
1224.036571,1.40E-90,4,202,Y,N
1493.582877,1.23E-05,2,270,N,N
1493.58554,1.22E-05,1,270,N,N
682.9327949,6.89E-128,4,206,Y,N
1484.269018,1.36E-05,4,270,N,N
1127.394478,6.19E-240,4,71,Y,N
602.4553238,1.37E-06,1,274,N,N
602.6797967,1.38E-06,3,274,N,N
602.478147,1.36E-06,4,274,N,N
